,league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,season_file,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_bookings_pts,away_bookings_pts,time
89,P1,2010-11-27,Maritimo,Guimaraes,2.0,0.0,H,2.0,0.0,H,2.6,3.1,2.75,,5.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
90,P1,2010-11-27,Pacos Ferreira,Olhanense,1.0,0.0,H,1.0,0.0,H,2.2,3.1,3.4,,5.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
91,P1,2010-11-27,Sp Lisbon,Porto,1.0,1.0,D,1.0,0.0,H,3.8,3.25,2.0,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
94,P1,2010-11-28,Sp Braga,Nacional,2.0,0.0,H,0.0,0.0,D,1.7,3.4,5.5,,6.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
92,P1,2010-11-28,Beira Mar,Benfica,1.0,3.0,A,0.0,1.0,A,7.0,3.7,1.53,,6.0,A,0.0,3.0,-2.0,4.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
93,P1,2010-11-28,Naval,Rio Ave,0.0,1.0,A,0.0,1.0,A,2.5,3.2,2.88,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
95,P1,2010-11-29,Portimonense,Leiria,1.0,2.0,A,1.0,0.0,H,2.9,3.1,2.5,,0.0,A,0.0,3.0,-1.0,3.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
96,P1,2010-12-03,Benfica,Olhanense,2.0,0.0,H,1.0,0.0,H,1.2,6.0,15.0,,4.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
97,P1,2010-12-04,Guimaraes,Pacos Ferreira,1.0,1.0,D,1.0,0.0,H,1.73,3.5,5.0,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
98,P1,2010-12-04,Leiria,Sp Braga,3.0,1.0,H,2.0,1.0,H,3.25,3.1,2.3,,5.0,H,3.0,0.0,2.0,4.0,H,1.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
99,P1,2010-12-05,Portimonense,Sp Lisbon,1.0,3.0,A,1.0,3.0,A,6.5,3.6,1.57,,6.0,A,0.0,3.0,-2.0,4.0,A,-2.0,4.0,cleanP1_1011,,,,,,,,,,,,,,,
100,P1,2010-12-05,Rio Ave,Beira Mar,1.0,1.0,D,0.0,0.0,D,2.1,3.1,3.75,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
101,P1,2010-12-06,Porto,Setubal,1.0,0.0,H,1.0,0.0,H,1.14,7.0,19.0,,0.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
102,P1,2010-12-07,Nacional,Naval,2.0,1.0,H,0.0,1.0,A,1.62,3.6,6.0,,1.0,H,3.0,0.0,1.0,3.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
103,P1,2010-12-08,Academica,Maritimo,1.0,5.0,A,0.0,1.0,A,2.0,3.25,3.5,,2.0,A,0.0,3.0,-4.0,6.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
104,P1,2010-12-17,Sp Braga,Academica,5.0,0.0,H,3.0,0.0,H,1.65,3.6,5.5,,4.0,H,3.0,0.0,5.0,5.0,H,3.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
105,P1,2010-12-18,Beira Mar,Guimaraes,3.0,2.0,H,1.0,0.0,H,2.7,3.0,2.8,,5.0,H,3.0,0.0,1.0,5.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
106,P1,2010-12-18,Benfica,Rio Ave,5.0,2.0,H,2.0,1.0,H,1.2,6.0,15.0,,5.0,H,3.0,0.0,3.0,7.0,H,1.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
110,P1,2010-12-19,Pacos Ferreira,Porto,0.0,3.0,A,0.0,1.0,A,8.0,4.0,1.44,,6.0,A,0.0,3.0,-3.0,3.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
109,P1,2010-12-19,Olhanense,Nacional,0.0,0.0,D,0.0,0.0,D,2.63,3.0,2.88,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
107,P1,2010-12-19,Maritimo,Portimonense,1.0,1.0,D,0.0,0.0,D,1.6,3.6,6.0,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
108,P1,2010-12-19,Naval,Leiria,0.0,3.0,A,0.0,1.0,A,2.75,3.0,2.7,,6.0,A,0.0,3.0,-3.0,3.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
