,league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file
100,P1,2019-11-30,15:30,Moreirense,Aves,3,2,H,2,1,H,18,12,5,3,11,5,11,18,1,2,0,1,15,5,H,3,0,1,5,H,1,3,10,45,cleanP1_1920
101,P1,2019-11-30,18:00,Benfica,Maritimo,4,0,H,3,0,H,12,12,9,1,4,3,12,13,3,2,1,0,18,5,H,3,0,4,4,H,3,3,55,20,cleanP1_1920
102,P1,2019-11-30,20:30,Portimonense,Famalicao,2,1,H,1,0,H,12,12,5,4,6,3,21,17,1,1,0,0,20,5,H,3,0,1,3,H,1,1,10,10,cleanP1_1920
103,P1,2019-12-01,15:00,Tondela,Belenenses,0,1,A,0,0,D,15,11,3,3,8,7,14,16,2,3,0,0,15,6,A,0,3,-1,1,D,0,0,20,30,cleanP1_1920
104,P1,2019-12-01,17:30,Setubal,Guimaraes,1,1,D,0,0,D,17,13,4,3,10,7,16,15,2,1,0,0,17,6,D,1,1,0,2,D,0,0,20,10,cleanP1_1920
105,P1,2019-12-01,20:00,Gil Vicente,Sp Lisbon,3,1,H,1,1,D,7,9,4,2,1,3,14,13,4,2,0,0,20,6,H,3,0,2,4,D,0,2,40,20,cleanP1_1920
106,P1,2019-12-02,18:45,Sp Braga,Rio Ave,2,0,H,1,0,H,12,9,4,2,7,3,20,12,2,2,0,0,18,0,H,3,0,2,2,H,1,1,20,20,cleanP1_1920
107,P1,2019-12-02,20:45,Porto,Pacos Ferreira,2,0,H,1,0,H,8,5,6,4,8,1,18,13,2,3,0,0,20,0,H,3,0,2,2,H,1,1,20,30,cleanP1_1920
108,P1,2019-12-06,20:30,Boavista,Benfica,1,4,A,1,1,D,9,11,5,6,3,5,17,10,4,4,0,0,20,4,A,0,3,-3,5,D,0,2,40,40,cleanP1_1920
109,P1,2019-12-07,15:00,Maritimo,Santa Clara,2,2,D,1,1,D,12,6,7,2,11,4,12,19,3,4,0,0,15,5,D,1,1,0,4,D,0,2,30,40,cleanP1_1920
110,P1,2019-12-07,18:00,Famalicao,Tondela,2,3,A,1,2,A,27,8,10,5,9,3,16,18,2,7,0,0,18,5,A,0,3,-1,5,A,-1,3,20,70,cleanP1_1920
111,P1,2019-12-07,20:30,Aves,Sp Braga,1,0,H,1,0,H,6,13,1,2,3,13,24,17,5,5,0,0,20,5,H,3,0,1,1,H,1,1,50,50,cleanP1_1920
115,P1,2019-12-08,20:00,Belenenses,Porto,1,1,D,1,1,D,5,16,3,7,2,4,21,18,7,2,0,0,20,6,D,1,1,0,2,D,0,2,70,20,cleanP1_1920
114,P1,2019-12-08,17:30,Sp Lisbon,Moreirense,1,0,H,0,0,D,28,9,9,1,8,2,16,11,3,4,0,1,17,6,H,3,0,1,1,D,0,0,30,65,cleanP1_1920
113,P1,2019-12-08,15:00,Pacos Ferreira,Setubal,2,3,A,0,1,A,21,9,4,4,8,5,24,16,4,5,0,0,15,6,A,0,3,-1,5,A,-1,1,40,50,cleanP1_1920
112,P1,2019-12-08,15:00,Guimaraes,Portimonense,2,0,H,1,0,H,10,13,5,2,8,3,15,9,1,1,0,0,15,6,H,3,0,2,2,H,1,1,10,10,cleanP1_1920
116,P1,2019-12-09,20:15,Rio Ave,Gil Vicente,1,0,H,0,0,D,9,8,2,4,7,1,20,18,3,2,1,0,20,0,H,3,0,1,1,D,0,0,55,20,cleanP1_1920
117,P1,2019-12-13,20:30,Portimonense,Rio Ave,1,1,D,0,1,A,16,9,6,2,5,1,18,14,4,3,1,0,20,4,D,1,1,0,2,A,-1,1,65,30,cleanP1_1920
118,P1,2019-12-14,15:30,Maritimo,Boavista,1,0,H,1,0,H,9,11,3,1,4,6,19,26,2,1,0,1,15,5,H,3,0,1,1,H,1,1,20,35,cleanP1_1920
119,P1,2019-12-14,18:00,Benfica,Famalicao,4,0,H,1,0,H,17,8,6,4,8,3,7,7,0,2,0,0,18,5,H,3,0,4,4,H,1,1,0,20,cleanP1_1920
